Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
360,AWD-LSTM+Behaviorial-Gating,"Prashanth Gurunath Shivakumar, Shao-Yen Tseng, Panayiotis Georgiou, Shrikanth Narayanan",2019/08/31,2019,Behavior Gated Language Models,3.0,0.0,https://arxiv.org/pdf/1909.00107,2.70E+07,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,56.92,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,?,?,"Architecture: AWD-LSTM, which augments a standard LSTM with a behavior-gating mechanism. Behavior model is implemented with a multi-layered RNN.; Optimizer: Hyperparameters (including learning rate) were optimized with grid search.; LR Schedule: Not explicitly mentioned, but optimized with a grid search.; Attention: Not applicable; Regularization: dropout (optimized using a grid search); Special Algorithms: Behavior Gating: augmenting a language model with a module which analyzes the behavioral state of the current context and gates the outputs of the language model before the final word prediction output.; Initialization: The first recurrent layer of the behavior model is initialized with pre-trained weights from a separate behavior classification model.; Other: Behavior model is pre-trained to identify the presence of each behavior from a sequence of words using a multi-label classification scheme.",,,,,,,,,,
361,TransformerXL-LayerFusion-CA,"James O' Neill, Greg Ver Steeg, Aram Galstyan",2020/07/29,2020,Compressing Deep Neural Networks via Layer Fusion,5.0,,https://arxiv.org/pdf/2007.14917,UNK,,,,,,0.0,103000000.0,#VALUE!,2080000.0,105000000.0,,,11.13,,0.0,0.0,0,0,Transformer,Transformer-XL,,,,,0,,,"Architecture: Transformer-XL; Optimizer: Not mentioned; LR Schedule: Exponential curriculum schedule to allocate the percentage of compression at each compression step.; Attention: Multi-head attention; Special Algorithms: Layer Fusion (LF), Wasserstein distance metric, Covariance Alignment; Initialization: Pretrained; Other: Freezing layers, Averaging layers, Random mixing layers, Truncated SVD, Denoising Autoencoders",,,,,,,,,,
362,LSTM-Large+Behaviorial-Gating,"Prashanth Gurunath Shivakumar, Shao-Yen Tseng, Panayiotis Georgiou, Shrikanth Narayanan",2019/08/31,2019,Behavior Gated Language Models,3.0,0.0,https://arxiv.org/pdf/1909.00107,6.70E+07,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,75.8,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,?,?,"Architecture: LSTM-based RNN with behavioral gating. The language model is a unidirectional LSTM. A separate multi-layered RNN acts as the behavior model, which is pre-trained and its first recurrent layer's weights are fixed.  Outputs of the behavior model are fed into a time-synced RNN which then gates the outputs of the language model.; Optimizer: Not explicitly mentioned, but hyperparameters are optimized via grid search.; LR Schedule: Not explicitly mentioned, but hyperparameters are optimized via grid search, implying a potential search over various learning rates and schedules.; Attention: Not applicable; Regularization: dropout; Special Algorithms: Behavioral Gating Mechanism; Initialization: First recurrent layer of behavior model is initialized with pre-trained weights from a separate behavior classification model.",,,,,,,,,,
363,Scatterbrain,"Beidi Chen, Tri Dao, Eric Winsor, Zhao Song, Atri Rudra, Christopher Ré",2021/10/28,2021,Scatterbrain: Unifying Sparse and Low-rank Attention Approximation,8.0,,https://web.archive.org/web/20220808053741/https://arxiv.org/pdf/2110.15343.pdf,UNK,1.03E+08,,30,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,,26.72,,,0.0,1.0,0,0,Transformer,Transformer,https://github.com/HazyResearch/scatterbrain,Salesforce Resarch,Industry,,0,,,"Architecture: Transformer; Optimizer: Not specified, but experiments fine-tune BERT base model.; LR Schedule: Not specified, but experiments fine-tune BERT base model with a learning rate of 3e-5.; Attention: Sparse and low-rank attention approximation is unified using Scatterbrain (novel algorithm); Special Algorithms: Scatterbrain: An algorithm to unify sparse (Locality Sensitive Hashing) and low-rank (Kernel Feature Map) attention; Initialization: Not specified",,,,,,,,,,
364,BERT-Large-CAS (WT2),"Chenguang Wang, Mu Li, Alexander J. Smola",2019/04/20,2019,Language Models with Transformers,110.0,,https://arxiv.org/abs/1904.09408,3.95E+08,,,50,,,0.0,4400000000.0,5.21E+20,2080000.0,4400000000.0,WikiText-2,,34.11,,0.0,0.0,0,0,Transformer,BERT,https://github.com/cgraywang/gluon-nlp-1/tree/lmtransformer/scripts/language_model,,,,1,,,"Architecture: Multi-layer Transformer decoder based language model (GPT variant) and multi-layer bidirectional Transformer encoder (BERT variant). Explores adding LSTM layers before or after the Transformer blocks.; Optimizer: Adam; LR Schedule: Not explicitly stated but a fixed learning rate is used during fine-tuning and in architecture search the learning rate stays constant.; Training: Fine-tuning pre-trained weights, Truncated back-propagation through time; Attention: Self-attention heads (12 in GPT, 12 or 16 in BERT); Regularization: L2 weight decay 0.01, dropout 0.1 (applied to LSTM and final linear layer); Special Algorithms: Coordinate Architecture Search (CAS) - a greedy search algorithm that randomly generates variants of the Transformer architecture and fine-tunes them to find an effective architecture for language modeling.; Initialization: Random initialization for added Linear and LSTM layers; Other: Mixture of Softmax (MoS) with 15 components, FixSubset: Fixing the parameters of a subset of Transformer blocks during fine-tuning, AddLinear: Adding a linear output layer, AddLSTM: Adding an LSTM layer",,,,,,,,,,
365,CryptoGRU,"Bo Feng, Qian Lou, Lei Jiang, Geoffrey C. Fox",2020/10/22,2020,CryptoGRU: Low Latency Privacy-Preserving Text Analysis With GRU,12.0,,https://arxiv.org/pdf/2010.11796,,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,,0.0,0.0,0,0,Recurrent,GRU,,,,,0,,,"Architecture: Hybrid HE and GC GRU network. Replaces tanh with ReLU activations. Quantizes sigmoid and ReLU activations to smaller bit-length.; Special Algorithms: Combination of homomorphic encryption and garbled circuits for privacy-preserving text analysis.; Other: GC-based ReLU instead of GC-based tanh, Quantization of GC-based sigmoid and ReLU activations for smaller bitwidths",,,,,,,,,,
366,Transformer-XL + AutoDropout (PTB),"Hieu Pham, Quoc V. Le",2021/01/05,2021,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,45.0,,https://arxiv.org/abs/2101.01761,2.40E+07,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,Penn TreeBank,,,54.9,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/google-research/googleresearch/tree/master/auto_dropout,,,,1,Word-level,10000,"Architecture: Transformer-XL; Optimizer: Adam; LR Schedule: cosine annealing with linear warmup; Training: reinforcement learning (REINFORCE) to train a controller, importance sampling for gradient updates, moving average baseline, entropy regularization; Attention: multi-head attention; Regularization: AutoDropout: learned dropout patterns, dropout on embedding layer, dropout on softmax layer, dropout elsewhere in Transformer-XL model, state-value and state-difference regularizations; Special Algorithms: AutoDropout: automated design of dropout patterns using a controller trained via reinforcement learning; Initialization: controller parameters initialized at a normal distribution with zero mean and a standard deviation of 0.02",,,,,,,,,,
367,Transformer-XL + AutoDropout (WT2),"Hieu Pham, Quoc V. Le",2021/01/05,2021,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,45.0,,https://arxiv.org/abs/2101.01761,3.50E+07,,,UNK,,,0.0,2080000.0,#VALUE!,,2080000.0,WikiText-2,,59.9,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/google-research/googleresearch/tree/master/auto_dropout,,,,1,?,?,"Architecture: Transformer-XL with 16 layers, hidden size of 380, 10 heads each of dimension 38, and positional feed-forward inner size of 900.; Optimizer: Adam; LR Schedule: Cosine annealing, starting at 3e-4 and decaying to 1e-4 throughout 80% of the training process, then remaining constant at 5e-5 for the last 20%.; Training: AutoDropout, Moving average baseline, Entropy regularization; Attention: Multi-head attention with 10 heads; Regularization: embedding dropout (0.5), softmax dropout (0.6), dropout (0.2) elsewhere in Transformer-XL model., state-value and state-difference regularizations; Special Algorithms: REINFORCE algorithm for controller training; Initialization: Controller parameters initialized at a normal distribution with zero mean and a standard deviation of 0.02.",,,,,,,,,,
368,All-attention network + adaptive span,"Sainbayar Sukhbaatar, Edouard Grave, Guillaume Lample, Herve Jegou, Armand Joulin",2019/07/02,2019,Augmenting Self-attention with Persistent Memory,94.0,,https://arxiv.org/abs/1907.01470,1.33E+08,,4.6e+19,,,,0.0,103000000.0,0.00E+00,0.0,103000000.0,WikiText-103,20.6,,,0.0,1.0,0,0,Transformer,All-attention network,,,,,1,Word-level,260000,"Architecture: All-attention network. It augments the self-attention layers with persistent memory vectors, removing the feed-forward layer without performance degradation.; Optimizer: Adagrad for character level modeling, Adam for word level modeling; LR Schedule: Linear warmup followed by either dividing by 10 when validation loss plateaus (character level modeling) or using 8k warmup steps (word level modeling); Training: Layer normalization, Skip-connections; Attention: Multi-head self-attention with learned relative position embeddings. Adaptive attention span is used.; Regularization: Dropout applied to attention weights, Gradient clipping; Special Algorithms: Adaptive softmax, Tied adaptive softmax and adaptive input; Initialization: Token and position embeddings are initialized from N(0,1), and the matrices Wq,k,v,o from U(-sqrt(d), sqrt(d)). Persistent vectors are reparameterized by k_t = sqrt(d_h)k and v_t = sqrt(N)v",,,,,,,,,,
369,Search-Proven Best LSTM,"R. Józefowicz, Wojciech Zaremba, Ilya Sutskever",2015/07/06,2015,An Empirical Exploration of Recurrent Network Architectures,2207.0,,https://proceedings.mlr.press/v37/jozefowicz15.pdf,2.00E+07,,,30,,,0.0,929000.0,3.34E+15,,929000.0,,,,79.83,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,,,,,,,,,,,
370,Engin-XL(NE),"Zhongping Zhang, Yiwen Gu, Bryan A. Plummer",2021/12/11,2021,Show and Write: Entity-aware Article Generation with Image Information,0.0,0.5,https://arxiv.org/pdf/2112.05917,1.50E+09,,,3,,,0.0,,0.00E+00,,0.0,,,16.3,,0.0,1.0,0,0,,,,,,,0,,,Architecture: GPT2 architecture; Optimizer: Adam; LR Schedule: linear warm-up for 0.06 epochs; Attention: GPT2 attention; Special Algorithms: Entity-aware mechanism to jointly model entity names and their corresponding entity categories; Initialization: GPT2 initialization; Other: CLIP is used to build an open-ended Visual-NER framework,,,,,,,,,,
371,H-LSTM+wg+rcp+rcg+wp,"Hongxu Yin, Guoyang Chen, Yingmin Li, Shuai Che, Weifeng Zhang, Niraj K. Jha",2019/01/30,2019,"Hardware-Guided Symbiotic Training for Compact, Accurate, yet Execution-Efficient LSTM",10.0,,https://arxiv.org/pdf/1901.10997,8.00E+05,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,72.1,0.0,0.0,0,0,Recurrent,LSTM,,University of Liverpool; USC Information Sciences Institute,Academia,,1,,,"Architecture: Internally deeper hidden-layer LSTM (H-LSTM). 1-layer H-LSTM with control gates containing one hidden layer.; Optimizer: Stochastic Gradient Descent (SGD) for language modeling. Nesterov SGD for speech recognition.; LR Schedule: Initial learning rate of 30, decayed by 10 when validation accuracy does not increase in 50 consecutive epochs (language modeling). Initial learning rate to 3e-4 and decay it by 0.99 after every training epoch (speech recognition).; Training: Weight growth, Structured row/column pruning, Hardware profile guided row/column growth, Weight pruning, Batch normalization (speech recognition); Attention: N/A; Regularization: Dropout 0.2 (control gates hidden layers), 0.65 (input embedding layers), 0.1 (input words) (language modeling). L2 regularization with weight decay of 1e-4 (speech recognition)., L2 regularization with weight decay of 1.2 × 10–6 (language modeling); Special Algorithms: Hardware-guided structured grow-and-prune algorithms; Initialization: Start training from a sparse seed architecture that contains a small fraction of connections; Other: Magnitude-based weight pruning",,,,,,,,,,
372,LSTM (2018),"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",2018/03/04,2018,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,4024.0,,https://arxiv.org/abs/1803.01271,1.30E+07,,,,,,0.0,929000.0,0.00E+00,,929000.0,Penn TreeBank,,,78.93,0.0,1.0,0,0,Recurrent,LSTM,http://github.com/locuslab/TCN,,,,1,Word-level,10000,"Architecture: Temporal Convolutional Network (TCN) with residual blocks. Each residual block contains two layers of dilated causal convolution and a non-linearity (ReLU). 1x1 convolutions are used to ensure the input and output of a residual block have the same width.; Optimizer: Adam; LR Schedule: Learning rate 0.002 for TCN unless otherwise noted. SGD with learning rate annealing by a factor of 0.5 when validation accuracy plateaus in word-level language modelling.; Training: gradient clipping, weight normalization, spatial dropout after each dilated convolution; Attention: N/A; Regularization: spatial dropout, gradient clipping; Initialization: Weights initialized from a Gaussian distribution N(0, 0.01).; Other: Causal Convolutions, Dilated Convolutions. Dilation factor d is increased exponentially with the depth of the network. d = O(2^l) at level l of the network. This ensures that there is some filter that hits each input within the effective history, while also allowing for an extremely large effective history using deep networks., Weight tying between the encoder and decoder layers for both TCN and RNNs in word-level language modelling.",,,,,,,,,,
373,4 layer QRNN (h=2500),"Stephen Merity, Nitish Shirish Keskar, Richard Socher",2018/03/22,2018,An Analysis of Neural Language Modeling at Multiple Scales,183.0,,https://arxiv.org/abs/1803.08240,2.60E+07,,2.4e+17,14.00,,,0.0,103000000.0,2.25E+17,0.0,103000000.0,WikiText-103,33.0,,,0.0,1.0,0,0,Recurrent/Convolutional,QRNN,https://github.com/salesforce/awd-lstm-lm,,,,1,Word-level,260000,"Architecture: 4-layer QRNN (h=2500) for WikiText-103 dataset, 6-layer QRNN (h=1024) for Penn Treebank character-level dataset, 3-layer LSTM (h=1000) for Penn Treebank character-level dataset, 4-layer QRNN (h=1800) for enwik8 character-level dataset, 3-layer LSTM (h=1840) for enwik8 character-level dataset. Models consist of a trainable embedding layer, one or more layers of a stacked recurrent neural network, and a softmax classifier. LSTM and QRNN cells are evaluated.; Optimizer: Adam; LR Schedule: Learning rate reduced by 10 at specific epochs. WikiText-103: reduced on epoch 12. enwik8: reduced on epochs 25 and 35. Penn Treebank: reduced on epochs 300 and 400.; Training: Truncated backpropagation through time (BPTT), tied weights for the embedding and softmax classifier, adaptive softmax, random sequence lengths; Regularization: embedding dropout, variational dropout, activation regularization (AR), temporal activation regularization (TAR), weight decay, weight dropped LSTM (enwik8) of magnitude 0.2, L2-norm decay",,,,,,,,,,
374,N-gram,"Tomas Mikolov, Armand Joulin, Sumit Chopra, Michael Mathieu, Marc'Aurelio Ranzato",2014/12/24,2014,Learning Longer Memory in Recurrent Neural Networks,306.0,,https://arxiv.org/abs/1412.7753,UNK,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,,,,141.2,0.0,1.0,0,0,N-gram,N-gram,"http://github.com/facebook/SCRNNs, ",,,,0,,,"Architecture: Structurally Constrained Recurrent Network (SCRN). Has two hidden layers: a fast layer (hidden layer) with a fully connected recurrent matrix and a slowly changing layer (context layer) with a diagonal recurrent matrix.; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: The learning rate is divided by 1.5 after each training epoch when the validation error does not decrease.; Training: Back-propagation through time, Batch gradient descent; Attention: N/A; Regularization: Gradient renormalization (equivalent to gradient clipping); Special Algorithms: Structural constraint on the recurrent weight matrix by using a diagonal matrix for the context layer; Initialization: Not mentioned explicitly; Other: Hierarchical Softmax is used in some experiments to speed up the computation. Two levels with the tokens binned into sqrt(d) clusters with same cumulative word frequency.",,,,,,,,,,
375,RNN (SGD+CLR) (PTB),"Yoshua Bengio, Nicolas Boulanger-Lewandowski, Razvan Pascanu",2012/12/04,2012,Advances in Optimizing Recurrent Networks,665.0,,https://arxiv.org/abs/1212.0901,2.05E+06,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,,,,128.35,0.0,1.0,0,0,Recurrent,RNN,,,,,1,Word-level,10000,"Architecture: RNN (vanilla), RNN-RBM, RNN-NADE; Optimizer: SGD, Nesterov accelerated gradient (NAG); LR Schedule: constant learning rate; Regularization: L1 penalty on outputs of hidden units to promote sparsity of activations; Other: Gradient clipping, Leaky integration units, Rectified linear units",,,,,,,,,,
376,Feedback Transformer,"Angela Fan, Thibaut Lavril, Edouard Grave, Armand Joulin, Sainbayar Sukhbaatar",2020/02/21,2020,Addressing Some Limitations of Transformers with Feedback Memory,41.0,,https://arxiv.org/abs/2002.09402,1.26E+08,,,267.23,,,0.0,103000000.0,2.08E+19,,103000000.0,WikiText-103,18.3,,,0.0,1.0,0,0,Transformer,Feedback transformer,,,,,1,?,?,"Architecture: Feedback Transformer: a modified Transformer architecture where the self-attention sublayer attends to a memory that aggregates hidden states from all layers at previous timesteps. This allows for recursive computation and access to higher-level representations from the past. The transformer is modified by replacing the context inputs to attention modules with memory vectors computed over the past.  The memory vectors are computed by summing the representations of all layers at the current timestep, weighted by learnable scalar parameters and a softmax function.; Optimizer: Adam is used for language modelling. The specific configurations are defined in table 9.; LR Schedule: Not specified explicitly except for warmup steps; Training: Pre-normalization, Adaptive Span, Increasing BPTT length during training for efficiency; Attention: Multi-head self-attention, attends to a feedback memory vector instead of lower-level activations as in standard transformer; Regularization: Dropout (applied to attention and ReLU activations, and in some cases, to the embedding layer output and the last sublayer output.); Special Algorithms: Feedback memory mechanism: Aggregates hidden states from all layers at previous timesteps, allowing for recursive computation and access to higher-level representations from the past., Key-value projection sharing across all layers during attention computation.; Initialization: Not explicitly stated, but they start from pretrained representations in some experiments.; Other: Hidden Representation Caching, Relative Position Embedding",,,,,,,,,,
377,Transformer LM + MinSen,"Junhao Xu, Shoukang Hu, Jianwei Yu, Xunying Liu, Helen Meng",2021/11/29,2021,Mixed Precision of Quantization of Transformer Language Models for Speech Recognition,9.0,,https://arxiv.org/pdf/2112.11540,,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,56.82,0.0,0.0,0,0,,,,The University of Hong Kong; Sun Yat-sen University,Academia,,0,,,"Architecture: Transformer: Deep stacking of multi-head attention followed by feedforward layers. Includes residual connections and layer normalization.; Optimizer: Alternating Direction Method of Multipliers (ADMM); LR Schedule: Not explicitly mentioned, but implicitly used as part of the optimization algorithm and precision tuning; Training: Quantization, Mixed Precision; Attention: Scaled multi-head dot product self-attention; Regularization: Model complexity penalty (β term in formula 12); Special Algorithms: Quantization Sensitivity Metric based on Hessian trace weighted quantization perturbation, Mixed precision Transformer architecture search, Hutchinson's Algorithm to approximate the Hessian trace; Initialization: Separately trained Transformer LMs using uniform precision (1-bit, 2-bit, 4-bit and 8-bit) with ADMM optimization; Other: GELU activation function",,,,,,,,,,
378,N-gram+Cache,"Tomas Mikolov, Armand Joulin, Sumit Chopra, Michael Mathieu, Marc'Aurelio Ranzato",2014/12/24,2014,Learning Longer Memory in Recurrent Neural Networks,306.0,,https://arxiv.org/abs/1412.7753,UNK,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,,,,125.0,0.0,1.0,1,0,N-gram,N-gram,"http://github.com/facebook/SCRNNs, ",,,,0,,,"Architecture: Simple Recurrent Network (SRN) with context features: SRN with a fast-changing hidden layer and a slowly changing context layer. The context layer uses a diagonal recurrent matrix to encourage slow changes. They also explore an alternative view of the model as a SRN with a constrained recurrent matrix, where a block is a reweighted identity matrix, and an off-diagonal block is zero (Structurally Constrained Recurrent Network - SCRN); Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: Learning rate is divided by 1.5 after each training epoch when the validation error does not decrease.; Training: Back-propagation through time (BPTT), Batch gradient descent; Attention: Not applicable; Regularization: Gradient renormalization (equivalent to gradient clipping in practice); Special Algorithms: Structurally Constrained Recurrent Network (SCRN) - A modification to SRN which constrains a part of the recurrent matrix to be close to identity.; Initialization: Not explicitly mentioned.; Other: Hierarchical softmax: Used to approximate the softmax function, with binning tokens into √d clusters with same cumulative word frequency.",,,,,,,,,,
379,Transformer+Recurrent Windows of Context,"Davis Yoshida, Allyson Ettinger, Kevin Gimpel",2020/08/16,2020,Adding Recurrence to Pretrained Transformers for Improved Efficiency and Context Size,4.0,0.5,https://arxiv.org/pdf/2008.07027,1.24E+08,,1.17e+20,2,,,0.0,4000000000.0,5.95E+18,103000000.0,4100000000.0,,26.73,,,0.0,1.0,0,0,Recurrent/Transformer,GPT,,,,,1,GPT2Tokenizer,50257,"Architecture: GPT-2 small model with 12 layers and 768-dimensional hidden state augmented with a small recurrence module (feedforward network with 3 hidden layers of dimension 200) inserted at a single layer, denoted lins, of the pretrained model.; Optimizer: Adam; LR Schedule: linear warmup over 100 steps, then constant; Training: backpropagation through time, gradient checkpointing; Attention: Self-attention within the pretrained transformer; additional embedding is only used as key and value, but not a query, in the self-attention layer.; Special Algorithms: Adding a small recurrence module that computes a fixed-size representation from the transformer hidden states in a window of text.; Initialization: pretrained GPT-2; Other: Mean-pooling of the embeddings produced by the pretrained transformer to produce a fixed-size representation., Recurrent module is inserted at a single layer (denoted lins) of the pretrained model.",,,,,,,,,,
380,Transformer (Adaptive Input Embeddings),"Alexei Baevski, Michael Auli",2018/09/28,2018,Adaptive Input Representations for Neural Language Modeling,337.0,,https://arxiv.org/abs/1809.10853,2.47E+08,,7.3e+18,180,,,0.0,103000000.0,2.75E+19,0.0,103000000.0,WikiText-103,18.7,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/facebookresearch/fairseq,,,,1,Word-level,267735,"Architecture: Decoder-only Transformer network with N=16 blocks. Each block contains two sub-blocks: multi-head self-attention module with H=16 heads, and feed-forward module (FFN) of the form ReLU(W1X+b1)W2+b2.; Optimizer: Nesterov's accelerated gradient method with a momentum of 0.99; LR Schedule: Linearly warmed up from 10^-7 to 1 for 16K steps and then annealed using a cosine learning rate schedule with C cycles. Each cycle runs for twice the number of updates than the previous cycle and the maximum and minimum learning rates are lowered by a rate M compared to the previous cycle. The initial minimum learning rate is 10^-5 and the maximum is 1.; Training: Gradient renormalization (if norm exceeds 0.1), Residual connections, Layer normalization before self-attention and FFN blocks instead of after, Accumulate gradient updates over two batches (WIKITEXT-103); Attention: Multi-head self-attention module with H = 16 heads; Regularization: Dropout (rate of 0.1 for Billion Word, 0.3 for Wikitext-103), Attention dropout (rate of 0.1), ReLU dropout (0.1, used for Wikitext-103), Dropout on the output of the first projection for all clusters in Adaptive Softmax, except for the head; Special Algorithms: Adaptive input embeddings extending adaptive softmax, Byte-pair encoding (BPE) for sub-word models; Initialization: Sinusoidal position embeddings added to the input layer; Other: Weight tying between input and output embeddings (tied softmax), Adaptive Softmax, Linear Projections for different clusters sizes",,,,,,,,,,
381,SparseOPT-175B,"Elias Frantar, Dan Alistarh",2023/01/02,2023,SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot,8.0,,https://arxiv.org/abs/2301.00774,8.75E+10,,,1.666666667,,,1.0,180000000000.0,1.58E+23,0.0,180000000000.0,,8.21,,,1.0,0.0,0,0,Transformer,OPT,https://github.com/IST-DASLab/sparsegpt,,,,1,,,"Architecture: Transformer; Optimizer: Not specified, but discusses using OBS (Optimal Brain Surgeon) update which relies on a quadratic approximation of the loss function; LR Schedule: Not specified; Attention: Multi-head attention is implicit in Transformer architecture. No specific modifications are indicated.; Special Algorithms: SparseGPT: A one-shot pruning method which reduces the pruning problem to a set of extremely large-scale instances of sparse regression.  It uses a new approximate sparse regression solver., Adaptive Mask Selection via iterative blocking; Initialization: Not specified; Other: OBS (Optimal Brain Surgeon) update for weight reconstruction, Iterative weight reconstruction, Hessian Synchronization: an algorithm to share Hessians between rows with distinct pruning masks",,,,,,,,,,
382,Transformer-XL+AdamP,"Byeongho Heo, Sanghyuk Chun, Seong Joon Oh, Dongyoon Han, Sangdoo Yun, Gyuwan Kim, Youngjung Uh, Jung-Woo Ha",2020/06/15,2020,AdamP: Slowing Down the Slowdown for Momentum Optimizers on Scale-invariant Weights,114.0,,https://arxiv.org/pdf/2006.08217,2.57E+08,,,UNK,,,0.0,103000000.0,#VALUE!,103000000.0,206000000.0,,23.26,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/clovaai/adamp,,,,1,Word-level,267735,"Architecture: Transformer-XL; Optimizer: AdamP, SGDP; LR Schedule: cosine annealing, step learning rate schedule (decays learning rates by 1/10 at 70% and 90% of training); Attention: Not explicitly mentioned, assuming standard multi-head attention for Transformer-XL; Regularization: weight decay; Special Algorithms: AdamP/SGDP: projection algorithm to remove the radial component from optimizer update step to slow down effective learning rate decay for scale-invariant weights; Initialization: Pytorch official ImageNet-pretrained ResNet50",,,,,,,,,,
383,Memformer (4 encoder + 16 decoder),"Qingyang Wu, Zhenzhong Lan, Kun Qian, Jing Gu, Alborz Geramifard, Zhou Yu",2020/10/14,2020,Memformer: A Memory-Augmented Transformer for Sequence Modeling,5.0,,https://arxiv.org/abs/2010.06891,7.62E+07,,1.2e+19,11.93,,,0.0,103000000.0,5.62E+17,0.0,103000000.0,WikiText-103,22.74,,,0.0,0.0,0,0,Transformer,Memformer,,Microsoft,Industry,,1,,,"Architecture: Memformer: A Transformer architecture augmented with a fixed-size external dynamic memory. Consists of an encoder (4 layers used in experiments) and decoder (16 layers used in experiments). The encoder interacts with the external memory by reading and writing. The decoder uses cross attention to the output of the encoder.; Optimizer: Not explicitly mentioned, but learning rate details are given (1e-3); LR Schedule: Warm-up steps were used, details are in the Training Details section of the appendix.; Training: Memory Replay Back-Propagation (MRBP): a variant of gradient checkpointing to reduce memory cost during training recurrent neural networks, Biased Memory Normalization (BMN): A forgetting mechanism specifically designed for slot memory representations. It normalizes memory slots and introduces a learnable bias vector.; Attention: Multi-Head Attention is used in the memory reading and writing modules. Each memory slot attends to itself and the encoder outputs.; Regularization: dropout (0.1), weight decay (0.01), gradient clipping with max gradient norm of 1.0; Special Algorithms: Memory Replay Back-Propagation (MRBP), Biased Memory Normalization (BMN); Initialization: Initial state of v_bias is normalized, this vector is learnable; Other: Segment-level sequence modeling: Splits the input sequence into segments to reduce computation., Memory reading and writing modules to interact with external dynamic memory.",,,,,,,,,,
384,Adaptive Inputs + LayerDrop,"Angela Fan, Edouard Grave, Armand Joulin",2019/09/25,2019,Reducing Transformer Depth on Demand with Structured Dropout,435.0,,https://arxiv.org/abs/1909.11556,4.23E+08,,,,,,0.0,103000000.0,0.00E+00,103000000.0,206000000.0,WikiText-103,17.7,,,0.0,0.0,0,0,Transformer,Transformer-XL,,,,,1,,,"Architecture: Transformer, stack of layers composed of two sub-layers: multi-head self-attention followed by a feedforward sub-layer.; Optimizer: Adam (used for pre-training RoBERTa, Summarization, Bi-directional Pre-training); LR Schedule: Cosine learning rate schedule (used for Wikitext-103 language modeling, WMT en-de machine translation and Summarization). Polynomial decay learning rate schedule (used for RoBERTa pre-training).; Training: LayerDrop (structured dropout), Data augmentation, Label smoothing; Attention: Multi-head self-attention; Regularization: LayerDrop, Dropout; Special Algorithms: Adaptive softmax, Adaptive input; Initialization: Nesterov's accelerated gradient; Other: Structured Pruning, Every Other pruning strategy, Random structured dropout",,,,,,,,,,
